 0.108,  0.365,  0.922,  1.008,  1.989,  1.042,  4.000  1.095, 6
 0.083,  0.296,  1.213,  1.013,  0.827,  1.078,  4.000  0.740, 6
 0.090,  0.310,  1.001,  1.013,  2.101,  1.021,  1.000  0.887, 6
 0.078,  0.368,  1.193,  1.017,  1.247,  1.112,  4.000  1.167, 5
 0.081,  0.401,  1.297,  1.077,  1.234,  1.067,  4.000  1.048, 5
 0.087,  0.279,  1.478,  1.015,  0.984,  0.993,  3.000  1.339, 5
 0.092,  0.362,  1.118,  1.001,  2.136,  1.053,  1.000  0.574, 5
 0.093,  0.238,  1.014,  1.007,  1.685,  0.920,  3.000  0.948, 5
 0.087,  0.406,  0.866,  1.004,  0.978,  1.030,  4.000  1.349, 5
 0.098,  0.379,  1.140,  1.036,  2.330,  1.121,  4.000  1.332, 5
 0.104,  0.308,  1.468,  1.012,  1.094,  1.028,  1.000  1.094, 5
 0.087,  0.360,  1.180,  1.027,  1.337,  1.042,  4.000  1.226, 5
 0.087,  0.324,  1.300,  1.037,  1.485,  1.009,  4.000  1.132, 5
 0.082,  0.304,  1.373,  1.025,  1.532,  1.039,  1.000  0.959, 5
 0.080,  0.301,  1.252,  1.021,  0.856,  1.126,  3.000  1.537, 5
 0.086,  0.324,  1.198,  1.019,  1.548,  0.993,  4.000  2.456, 3
 0.095,  0.366,  1.278,  1.002,  1.222,  1.051,  5.000  1.143, 3
 0.084,  0.395,  0.993,  1.023,  1.564,  1.196,  4.000  2.996, 3
 0.080,  0.263,  1.501,  1.059,  0.941,  1.057,  4.000  1.451, 3
 0.085,  0.255,  1.383,  1.035,  0.810,  1.018,  4.000  0.828, 3
 0.091,  0.296,  0.862,  1.002,  2.904,  1.039,  3.000  0.759, 3
 0.095,  0.319,  1.104,  1.020,  1.204,  1.044,  1.000  1.104, 1
 0.088,  0.275,  1.119,  1.023,  1.987,  0.990,  4.000  1.348, 1
 0.080,  0.478,  1.669,  1.084,  0.978,  1.046,  4.000  1.039, 1
 0.082,  0.344,  1.375,  1.005,  1.531,  1.074,  4.000  0.624, 1
 0.071,  0.479,  1.647,  1.048,  1.443,  1.093,  1.000  1.125, 1
 0.104,  0.366,  1.250,  1.039,  1.691,  1.088,  4.000  1.692, 1
 0.080,  0.350,  0.900,  1.077,  0.876,  1.068,  1.000  0.932, 1
 0.084,  0.323,  1.270,  1.014,  1.288,  1.071,  4.000  0.841, 1
 0.087,  0.346,  0.960,  1.001,  3.213,  1.006,  3.000  0.782, 1
 0.089,  0.271,  1.102,  1.006,  1.577,  0.986,  3.000  1.713, 1
 0.087,  0.385,  1.380,  1.002,  1.186,  1.015,  4.000  2.423, 1
 0.070,  0.452,  1.301,  1.009,  1.441,  1.022,  1.000  0.824, 1
 0.086,  0.343,  1.608,  1.012,  1.516,  1.178,  1.000  0.667, 1
 0.107,  0.363,  0.420,  1.025,  1.637,  1.090,  1.000  0.868, 1
 0.086,  0.363,  1.896,  1.014,  0.788,  1.120,  3.000  1.566, 1
 0.074,  0.432,  1.306,  1.016,  0.887,  1.116,  4.000  2.254, 1
 0.091,  0.324,  1.283,  1.017,  1.651,  1.063,  4.000  1.515, 1
 0.085,  0.238,  0.909,  1.001,  1.763,  0.945,  3.000  0.644, 1
 0.089,  0.302,  0.897,  1.001,  2.220,  0.919,  4.000  2.282, 1
 0.077,  0.430,  1.151,  1.028,  1.016,  0.993,  4.000  0.994, 1
 0.067,  0.498,  1.159,  1.185,  1.061,  1.082,  4.000  0.478, 1
 0.082,  0.271,  1.393,  1.011,  0.809,  1.048,  1.000  1.357, 1
 0.083,  0.251,  1.173,  1.005,  1.147,  1.096,  4.000  1.133, 1
 0.093,  0.248,  1.024,  1.002,  1.267,  0.921,  4.000  0.952, 1
 0.093,  0.329,  0.900,  1.033,  1.403,  0.991,  4.000  1.389, 1
 0.084,  0.367,  1.167,  1.025,  0.841,  1.092,  4.000  1.244, 1
 0.088,  0.341,  1.231,  1.009,  1.043,  1.053,  4.000  0.977, 1
 0.095,  0.410,  1.419,  1.009,  3.557,  1.000,  4.000  0.879, 1
 0.088,  0.448,  0.956,  1.014,  2.998,  1.167,  4.000  1.086, 1
 0.070,  0.416,  1.550,  1.015,  0.973,  1.074,  1.000  1.720, 1
 0.085,  0.300,  0.861,  1.006,  1.445,  0.966,  5.000  1.257, 1
 0.103,  0.372,  0.902,  1.008,  1.443,  1.079,  4.000  1.349, 1
 0.078,  0.385,  1.331,  1.007,  1.076,  1.050,  1.000  1.030, 1
 0.087,  0.271,  2.053,  1.003,  2.804,  0.889,  4.000  0.950, 1
 0.084,  0.359,  1.801,  1.020,  1.130,  0.986,  4.000  1.206, 1
 0.083,  0.390,  1.025,  1.020,  2.374,  1.138,  4.000  0.613, 1
